Em casa / Fora de casa;AKL;AWI;BWL;GAK;HAR;LSK;RWI;RBS;ALT;STU;TIR;WAC
Austria Klagenfurt;;0 x 1;3 x 1;4 x 2;2 x 2;1 x 2;1 x 1;0 x 0;2 x 2;0 x 2;0 x 3;2 x 1
Austria Wien;2 x 0;;2 x 1;2 x 1;1 x 0;2 x 1;2 x 1;0 x 1;3 x 0;2 x 2;3 x 0;3 x 1
Blau-Weiss Linz;2 x 1;1 x 0;;1 x 2;4 x 1;1 x 0;3 x 0;2 x 0;1 x 3;1 x 2;2 x 1;0 x 1
Grazer AK;0 x 1;1 x 2;2 x 2;;0 x 3;0 x 0;1 x 1;2 x 3;1 x 1;1 x 2;2 x 1;2 x 3
Hartberg;1 x 1;1 x 1;2 x 1;1 x 1;;1 x 2;2 x 1;1 x 1;2 x 0;1 x 2;1 x 0;0 x 3
LASK;4 x 0;1 x 3;0 x 0;4 x 2;1 x 1;;2 x 1;0 x 1;1 x 2;1 x 2;2 x 1;1 x 5
Rapid Wien;2 x 0;2 x 1;0 x 1;3 x 0;2 x 1;1 x 1;;3 x 2;5 x 0;1 x 0;2 x 0;1 x 3
Red Bull Salzburg;3 x 0;2 x 0;5 x 1;0 x 0;4 x 0;1 x 2;2 x 2;;2 x 1;3 x 1;1 x 1;1 x 0
Rheindorf Altach;2 x 2;1 x 1;0 x 1;1 x 2;0 x 0;1 x 2;0 x 1;1 x 1;;1 x 1;1 x 2;2 x 0
Sturm Graz;7 x 0;2 x 2;2 x 1;5 x 2;2 x 0;4 x 2;1 x 1;5 x 0;2 x 1;;4 x 2;0 x 3
WSG Tirol;0 x 1;0 x 2;1 x 1;0 x 0;0 x 0;1 x 2;0 x 0;0 x 0;1 x 0;0 x 3;;3 x 3
Wolfsberg;4 x 1;0 x 1;1 x 2;4 x 2;2 x 3;2 x 1;1 x 1;0 x 0;2 x 0;3 x 0;1 x 3;
