Em casa / Fora de casa;AUG;UNB;BOC;BRE;DOR;FRA;FRE;HEI;HOF;KIE;LEI;LEV;MAI;MON;MUN;STP;STU;WOL;Rating
FC Augsburg;;1 x 2;1 x 0;2 x 2;2 x 1;0 x 0;0 x 0;2 x 1;0 x 0;1 x 3;0 x 0;0 x 2;2 x 3;2 x 1;1 x 3;3 x 1;0 x 1;1 x 0;83,4
Union Berlin;0 x 2;;0 x 2;2 x 2;2 x 1;1 x 1;0 x 0;0 x 3;2 x 1;0 x 1;0 x 0;1 x 2;2 x 1;1 x 2;1 x 1;1 x 0;4 x 4;1 x 0;83,2
VfL Bochum;1 x 2;1 x 1;;0 x 1;2 x 0;1 x 3;0 x 1;2 x 0;0 x 1;2 x 2;3 x 3;1 x 1;1 x 4;0 x 2;0 x 5;1 x 0;0 x 4;1 x 3;79,3
Werder Bremen;0 x 2;4 x 1;1 x 0;;0 x 0;2 x 0;0 x 1;3 x 3;1 x 3;2 x 1;0 x 0;2 x 2;1 x 0;2 x 4;0 x 5;0 x 0;2 x 2;1 x 2;85,9
Borussia Dortmund;0 x 1;6 x 0;4 x 2;2 x 2;;2 x 0;4 x 0;4 x 2;1 x 1;3 x 0;2 x 1;2 x 3;3 x 1;3 x 2;1 x 1;2 x 1;1 x 2;4 x 0;92,6
Eintracht Frankfurt;2 x 2;1 x 2;7 x 2;1 x 0;2 x 0;;4 x 1;3 x 0;3 x 1;3 x 1;4 x 0;1 x 4;1 x 3;2 x 0;3 x 3;2 x 2;1 x 0;1 x 1;89,2
SC Freiburg;3 x 1;1 x 2;2 x 1;5 x 0;1 x 4;1 x 3;;1 x 0;3 x 2;3 x 2;0 x 0;2 x 2;0 x 0;3 x 1;1 x 2;0 x 3;3 x 1;3 x 2;86
1. FC Heidenheim;4 x 0;2 x 0;0 x 0;1 x 4;1 x 2;0 x 4;0 x 3;;0 x 0;3 x 1;0 x 1;0 x 1;0 x 2;0 x 3;0 x 4;0 x 2;1 x 3;1 x 3;81
TSG Hoffenheim;1 x 1;0 x 4;3 x 1;3 x 4;2 x 3;2 x 2;1 x 1;1 x 1;;3 x 2;4 x 3;1 x 4;2 x 0;1 x 2;0 x 4;0 x 2;1 x 1;0 x 1;82,8
Holstein Kiel;5 x 1;0 x 2;2 x 2;0 x 3;4 x 2;2 x 4;1 x 2;1 x 0;1 x 3;;0 x 2;0 x 2;0 x 3;4 x 3;1 x 6;1 x 2;2 x 2;0 x 2;79,7
RB Leipzig;4 x 0;0 x 0;1 x 0;4 x 2;2 x 0;2 x 1;3 x 1;2 x 2;3 x 1;1 x 1;;2 x 2;1 x 2;0 x 0;3 x 3;2 x 0;2 x 3;1 x 5;88
Bayer Leverkusen;2 x 0;0 x 0;3 x 1;0 x 2;2 x 4;2 x 1;5 x 1;5 x 2;3 x 1;2 x 2;2 x 3;;1 x 0;3 x 1;0 x 0;2 x 1;0 x 0;4 x 3;92,6
Mainz 05;0 x 0;1 x 1;2 x 0;1 x 2;3 x 1;1 x 1;2 x 2;0 x 2;2 x 0;1 x 1;0 x 2;2 x 2;;1 x 1;2 x 1;2 x 0;2 x 0;2 x 2;87
Borussia Monchengladbach;0 x 3;1 x 0;3 x 0;4 x 1;1 x 1;1 x 1;1 x 2;3 x 2;4 x 4;4 x 1;1 x 0;2 x 3;1 x 3;;0 x 1;2 x 0;1 x 3;0 x 1;83,9
Bayern Munich;3 x 0;3 x 0;2 x 3;3 x 0;2 x 2;4 x 0;2 x 0;4 x 2;5 x 0;4 x 3;5 x 1;1 x 1;3 x 0;2 x 0;;3 x 2;4 x 0;3 x 2;96,4
FC St. Pauli;1 x 1;3 x 0;0 x 2;0 x 2;0 x 2;0 x 1;0 x 1;0 x 2;1 x 0;3 x 1;0 x 0;1 x 1;0 x 3;1 x 1;0 x 1;;0 x 1;0 x 0;81,3
VfB Stuttgart;4 x 0;3 x 2;2 x 0;1 x 2;5 x 1;2 x 3;4 x 0;0 x 1;1 x 1;2 x 1;2 x 1;3 x 4;3 x 3;1 x 2;1 x 3;0 x 1;;1 x 2;88,2
VfL Wolfsburg;1 x 1;1 x 0;1 x 1;2 x 4;1 x 3;1 x 2;0 x 1;0 x 1;2 x 2;2 x 2;2 x 3;0 x 0;4 x 3;5 x 1;2 x 3;1 x 1;2 x 2;;84,5
