Em casa / Fora de casa;AHL;CER;ENP;GMH;GOU;HRS;ISM;ITH;MAS;MOD;NBE;PET;PHA;PYR;SMO;TGS;ZAM;ZED
Al Ahly;;5 x 2;;1 x 0;2 x 0;;;1 x 1;;;;2 x 1;;2 x 2;2 x 0;2 x 0;1 x 1;
Ceramica Cleopatra;;;2 x 2;;;;1 x 0;1 x 1;1 x 1;4 x 1;;4 x 1;1 x 2;;0 x 1;;;
ENPPI;0 x 0;;;;;;1 x 0;1 x 1;;;0 x 1;;;1 x 2;1 x 0;0 x 1;0 x 3;
Ghazl El Mahalla;;0 x 1;3 x 0;;;0 x 1;;0 x 0;1 x 0;2 x 1;0 x 1;;;;;2 x 3;0 x 4;
El Gouna;;2 x 0;1 x 0;0 x 1;;0 x 1;2 x 0;;;;1 x 2;;;0 x 1;;;;0 x 0
Haras El Hodoud;0 x 1;0 x 0;1 x 0;;;;;;0 x 0;1 x 0;;;2 x 0;;1 x 3;3 x 0;;
Ismaily;0 x 4;;;0 x 0;;2 x 2;;;;;;1 x 0;0 x 2;1 x 1;1 x 0;1 x 2;;
Al Ittihad;;;;;1 x 0;1 x 0;1 x 0;;1 x 2;0 x 0;;;;1 x 3;0 x 1;0 x 1;;0 x 1
Al Masry;0 x 2;;2 x 1;;0 x 0;;0 x 0;;;4 x 2;0 x 0;;1 x 0;1 x 0;;;;
Modern Sport;1 x 3;;0 x 0;;2 x 3;;0 x 3;;;;0 x 1;;;0 x 1;;0 x 0;1 x 0;0 x 0
National Bank of Egypt;0 x 0;1 x 2;;;;2 x 1;1 x 0;3 x 2;;;;0 x 2;0 x 0;;;;;1 x 1
Petrojet;;;0 x 0;2 x 1;1 x 0;2 x 2;;0 x 0;2 x 1;1 x 1;;;1 x 2;;0 x 1;;;
Pharco;1 x 1;;4 x 3;3 x 2;0 x 0;;;0 x 1;;0 x 0;;;;;2 x 1;;0 x 1;1 x 2
Pyramids;;2 x 1;;3 x 0;;3 x 0;;;;;3 x 1;1 x 1;3 x 0;;;2 x 1;3 x 0;
Smouha;;;;2 x 4;0 x 0;;;;0 x 3;1 x 0;1 x 4;;;0 x 1;;;0 x 2;2 x 1
Tala'ea El Gaish;;0 x 1;;;0 x 0;;;;0 x 2;;2 x 2;0 x 1;0 x 0;;0 x 0;;2 x 2;1 x 0
Zamalek;;1 x 1;;;4 x 1;3 x 2;2 x 0;2 x 0;0 x 1;;3 x 2;1 x 1;;;;;;1 x 1
ZED;0 x 1;1 x 1;0 x 0;2 x 0;;2 x 0;2 x 2;;1 x 1;;;1 x 1;;0 x 1;;;;
