Em casa / Fora de casa;ARS;AVL;BOU;BRE;BHA;CHE;CRY;EVE;FUL;IPS;LEI;LIV;MCI;MUN;NEW;NFO;SOU;TOT;WHU;WOL;Rating
Arsenal;;2 x 2;1 x 2;1 x 1;1 x 1;1 x 0;2 x 2;0 x 0;2 x 1;1 x 0;4 x 2;2 x 2;5 x 1;2 x 0;1 x 0;3 x 0;3 x 1;2 x 1;0 x 1;2 x 0;99,5
Aston Villa;0 x 2;;1 x 1;3 x 1;2 x 2;2 x 1;2 x 2;3 x 2;1 x 0;1 x 1;2 x 1;2 x 2;2 x 1;0 x 0;4 x 1;2 x 1;1 x 0;2 x 0;1 x 1;3 x 1;95,4
Bournemouth;2 x 0;0 x 1;;1 x 2;1 x 2;0 x 1;0 x 0;1 x 0;1 x 0;1 x 2;2 x 0;0 x 2;2 x 1;1 x 1;1 x 1;5 x 0;3 x 1;1 x 0;1 x 1;0 x 1;92,1
Brentford;1 x 3;0 x 1;3 x 2;;4 x 2;0 x 0;2 x 1;1 x 1;2 x 3;4 x 3;4 x 1;0 x 2;2 x 2;4 x 3;4 x 2;0 x 2;3 x 1;0 x 2;1 x 1;5 x 3;91,8
Brighton & Hove Albion;1 x 1;0 x 3;2 x 1;0 x 0;;3 x 0;1 x 3;0 x 1;2 x 1;0 x 0;2 x 2;3 x 2;2 x 1;2 x 1;1 x 1;2 x 2;1 x 1;3 x 2;3 x 2;2 x 2;93,6
Chelsea;1 x 1;3 x 0;2 x 2;2 x 1;4 x 2;;1 x 1;1 x 0;1 x 2;2 x 2;1 x 0;3 x 1;0 x 2;1 x 0;2 x 1;1 x 1;4 x 0;1 x 0;2 x 1;3 x 1;95,4
Crystal Palace;1 x 5;4 x 1;0 x 0;1 x 2;2 x 1;1 x 1;;1 x 2;0 x 2;1 x 0;2 x 2;0 x 1;2 x 2;0 x 0;1 x 1;1 x 1;2 x 1;1 x 0;0 x 2;4 x 2;94,3
Everton;1 x 1;0 x 1;2 x 3;0 x 0;0 x 3;0 x 0;2 x 1;;1 x 1;2 x 2;4 x 0;2 x 2;0 x 2;2 x 2;0 x 0;0 x 2;2 x 0;3 x 2;1 x 1;4 x 0;91,1
Fulham;1 x 1;1 x 3;2 x 2;2 x 1;3 x 1;1 x 2;0 x 2;1 x 3;;2 x 2;2 x 1;3 x 2;0 x 2;0 x 1;3 x 1;2 x 1;0 x 0;2 x 0;1 x 1;1 x 4;90,6
Ipswich Town;0 x 4;2 x 2;1 x 2;0 x 1;0 x 2;2 x 0;0 x 1;0 x 2;1 x 1;;1 x 1;0 x 2;0 x 6;1 x 1;0 x 4;2 x 4;1 x 2;1 x 4;1 x 3;1 x 2;83,2
Leicester City;0 x 2;1 x 2;1 x 0;0 x 4;2 x 2;1 x 2;0 x 2;1 x 1;0 x 2;2 x 0;;0 x 1;0 x 2;0 x 3;0 x 3;1 x 3;2 x 0;1 x 1;3 x 1;0 x 3;83,2
Liverpool;2 x 2;2 x 0;3 x 0;2 x 0;2 x 1;2 x 1;1 x 1;1 x 0;2 x 2;4 x 1;3 x 1;;2 x 0;2 x 2;2 x 0;0 x 1;3 x 1;5 x 1;2 x 1;2 x 1;100
Manchester City;2 x 2;2 x 1;3 x 1;2 x 1;2 x 2;3 x 1;5 x 2;1 x 1;3 x 2;4 x 1;2 x 0;0 x 2;;1 x 2;4 x 0;3 x 0;1 x 0;0 x 4;4 x 1;1 x 0;98,5
Manchester United;1 x 1;2 x 0;0 x 3;2 x 1;1 x 3;1 x 1;0 x 2;4 x 0;1 x 0;3 x 2;3 x 0;0 x 3;0 x 0;;0 x 2;2 x 3;3 x 1;0 x 3;0 x 2;0 x 1;91,3
Newcastle United;1 x 0;3 x 0;1 x 4;2 x 1;0 x 1;2 x 0;5 x 0;0 x 1;1 x 2;3 x 0;4 x 0;3 x 3;1 x 1;4 x 1;;4 x 3;1 x 0;2 x 1;0 x 2;3 x 0;95,4
Nottingham Forest;0 x 0;2 x 1;1 x 1;0 x 2;7 x 0;0 x 1;1 x 0;0 x 1;0 x 1;1 x 0;2 x 2;1 x 1;1 x 0;1 x 0;1 x 3;;3 x 2;1 x 0;3 x 0;1 x 1;91,8
Southampton;1 x 2;0 x 3;1 x 3;0 x 5;0 x 4;1 x 5;1 x 1;1 x 0;1 x 2;1 x 1;2 x 3;2 x 3;0 x 0;0 x 3;1 x 3;0 x 1;;0 x 5;0 x 1;1 x 2;81
Tottenham Hotspur;0 x 1;4 x 1;2 x 2;3 x 1;1 x 4;3 x 4;0 x 2;4 x 0;1 x 1;1 x 2;1 x 2;3 x 6;0 x 1;1 x 0;1 x 2;1 x 2;3 x 1;;4 x 1;2 x 2;90,8
West Ham United;2 x 5;1 x 2;2 x 2;0 x 1;1 x 1;0 x 3;0 x 2;0 x 0;3 x 2;4 x 1;2 x 0;0 x 5;1 x 3;2 x 1;0 x 1;1 x 2;1 x 1;1 x 1;;2 x 1;89,5
Wolverhampton Wanderers;0 x 1;2 x 0;2 x 4;1 x 1;0 x 2;2 x 6;2 x 2;1 x 1;1 x 2;1 x 2;3 x 0;1 x 2;1 x 2;2 x 0;1 x 2;0 x 3;2 x 0;4 x 2;1 x 0;;89
