Em casa / Fora de casa;AME;ATL;ASL;CAZ;GUA;JUA;LEO;MAZ;MON;NEC;PAC;PUE;QUE;SAN;TIJ;TOL;UNL;UNM;Rating
America;;;3 x 0;0 x 0;;4 x 0;1 x 1;5 x 0;;2 x 3;;;;;1 x 1;3 x 0;3 x 0;;
Atlas;1 x 3;;3 x 1;;1 x 1;1 x 1;1 x 2;;3 x 3;0 x 4;;3 x 2;;;;2 x 3;;;
Atletico San Luis;;;;;3 x 1;1 x 0;1 x 2;2 x 1;;0 x 3;2 x 1;;;;;0 x 1;1 x 3;2 x 3;
Cruz Azul;;1 x 1;3 x 0;;;;2 x 1;;1 x 1;;2 x 1;1 x 1;1 x 0;;;;;3 x 2;
Guadalajara;0 x 0;;;0 x 1;;;;;;;2 x 1;1 x 0;1 x 1;1 x 0;2 x 1;;1 x 1;;
Juarez;;;;1 x 0;1 x 1;;;;2 x 1;2 x 2;2 x 2;2 x 0;0 x 2;1 x 0;;0 x 4;;;
Leon;;;;;2 x 1;1 x 0;;;0 x 2;;;1 x 0;;;2 x 1;3 x 3;1 x 0;1 x 2;
Mazatlan;;3 x 2;;1 x 1;1 x 1;1 x 1;1 x 2;;1 x 0;;;;;1 x 1;0 x 2;2 x 1;;;
Monterrey;1 x 0;;3 x 1;;3 x 1;;;;;1 x 0;2 x 3;1 x 1;;4 x 2;1 x 2;;;;
Necaxa;;;;1 x 3;3 x 2;;2 x 1;3 x 1;;;3 x 5;;2 x 0;3 x 2;;;1 x 2;;
Pachuca;1 x 0;0 x 0;;;;;1 x 2;1 x 1;;;;2 x 1;;2 x 1;4 x 1;;0 x 0;2 x 1;
Puebla;1 x 2;;1 x 2;;;0 x 2;;0 x 1;;0 x 1;;;;;2 x 0;0 x 3;0 x 0;1 x 3;
Queretaro;0 x 1;1 x 2;1 x 0;;;;1 x 1;1 x 0;2 x 4;;0 x 1;2 x 0;;;;;;3 x 2;
Santos Laguna;1 x 4;2 x 0;2 x 3;0 x 1;;;2 x 1;;;;;0 x 2;1 x 2;;0 x 4;;;;
Tijuana;;3 x 4;2 x 1;2 x 3;;1 x 2;;;;1 x 2;;;2 x 1;;;2 x 4;;4 x 2;
Toluca;;;;2 x 2;2 x 1;;;;1 x 1;5 x 2;3 x 2;;5 x 0;2 x 1;;;1 x 0;;
UANL;;2 x 1;;2 x 1;;0 x 1;;2 x 1;2 x 1;;;;1 x 0;3 x 0;4 x 0;;;2 x 1;
UNAM;0 x 2;0 x 0;;;0 x 1;0 x 0;;1 x 0;1 x 3;2 x 1;;;;2 x 0;;1 x 1;;;
