Em casa / Fora de casa;ASG;ASS;CA;CAB;CSS;EGSG;ESM;ESS;EST;ESZ;JSO;OB;ST;USBG;USM;UST
AS Gabès;;1 x 2;0 x 0;2 x 1;2 x 2;0 x 0;1 x 0;0 x 2;0 x 2;2 x 0;0 x 0;0 x 1;1 x 0;1 x 1;0 x 0;0 x 1
AS Soliman;0 x 0;;0 x 0;0 x 2;1 x 4;1 x 1;1 x 0;0 x 0;1 x 2;1 x 1;1 x 0;1 x 0;0 x 2;0 x 0;0 x 1;0 x 0
Club Africain;1 x 0;4 x 2;;1 x 0;0 x 0;2 x 1;3 x 0;0 x 2;1 x 3;1 x 0;2 x 0;2 x 0;1 x 0;0 x 0;0 x 0;1 x 0
CA Bizertin;2 x 0;0 x 0;1 x 0;;1 x 1;1 x 0;1 x 1;1 x 2;2 x 1;4 x 1;4 x 1;3 x 0;1 x 1;0 x 1;0 x 0;3 x 1
CS Sfaxien;1 x 0;4 x 0;0 x 1;1 x 0;;2 x 0;1 x 1;0 x 1;0 x 1;1 x 1;0 x 0;0 x 0;1 x 2;1 x 0;0 x 0;2 x 0
EGS Gafsa;0 x 1;4 x 0;0 x 3;2 x 0;0 x 2;;2 x 0;2 x 3;0 x 3;1 x 3;0 x 0;0 x 2;0 x 1;2 x 1;0 x 1;2 x 0
ES Métlaoui;2 x 1;2 x 0;1 x 2;2 x 0;2 x 1;2 x 1;;0 x 0;1 x 1;1 x 0;1 x 0;2 x 0;0 x 0;1 x 1;0 x 0;3 x 1
Étoile du Sahel;2 x 0;2 x 0;2 x 2;1 x 0;0 x 1;1 x 1;2 x 1;;0 x 2;0 x 1;3 x 0;0 x 1;0 x 1;2 x 1;1 x 0;2 x 0
Espérance de Tunis;2 x 1;4 x 2;2 x 2;0 x 0;1 x 0;1 x 0;3 x 2;3 x 0;;4 x 2;2 x 0;1 x 1;2 x 2;1 x 1;0 x 0;3 x 0
Espérance de Zarzis;2 x 0;1 x 0;1 x 0;1 x 0;1 x 0;1 x 0;1 x 0;2 x 3;1 x 0;;2 x 1;1 x 0;2 x 0;2 x 2;1 x 2;3 x 0
JS El Omrane;2 x 2;0 x 0;1 x 1;1 x 1;1 x 0;2 x 1;0 x 0;1 x 4;2 x 2;0 x 1;;2 x 2;1 x 1;2 x 1;1 x 2;1 x 1
Olympique Béja;1 x 0;0 x 0;1 x 1;0 x 0;1 x 2;3 x 1;0 x 1;0 x 2;0 x 5;1 x 2;2 x 1;;0 x 0;0 x 0;1 x 3;1 x 2
Stade Tunisien;2 x 1;0 x 1;1 x 0;1 x 0;1 x 1;2 x 1;1 x 0;1 x 3;0 x 1;1 x 1;0 x 0;3 x 0;;1 x 0;0 x 0;3 x 1
US Ben Guerdane;3 x 0;0 x 1;0 x 2;1 x 0;0 x 2;3 x 1;2 x 2;1 x 3;1 x 1;3 x 2;1 x 1;0 x 1;0 x 0;;0 x 0;2 x 0
US Monastir;5 x 0;3 x 0;1 x 0;3 x 1;1 x 1;2 x 0;1 x 1;1 x 0;0 x 2;0 x 0;7 x 0;1 x 0;1 x 0;2 x 1;;4 x 1
US Tataouine;1 x 2;0 x 3;0 x 1;2 x 0;0 x 0;0 x 1;0 x 3;1 x 2;0 x 2;1 x 1;2 x 4;1 x 0;1 x 2;2 x 1;0 x 1;
