Em casa / Fora de casa;ANI;AFU;COS;FOK;GOS;KSA;KSR;KWF;KYS;MCZ;NGR;SHI;SHB;SSP;TOK;TOV;URD;VKO;YOK;YFM
Albirex Niigata;;0 x 1;2 x 2;1 x 1;3 x 3;;;;1 x 2;;;;2 x 1;;2 x 3;2 x 2;1 x 1;;0 x 0;1 x 0
Avispa Fukuoka;3 x 2;;;;;0 x 1;0 x 1;1 x 2;;2 x 2;1 x 1;;;;1 x 0;0 x 0;1 x 0;;;2 x 1
Cerezo Osaka;;2 x 0;;2 x 1;;1 x 0;;;;1 x 2;1 x 1;;1 x 2;4 x 2;1 x 1;2 x 1;1 x 1;;;1 x 0
Fagiano Okayama;2 x 1;0 x 1;;;2 x 0;1 x 2;;0 x 0;2 x 0;2 x 2;;;;1 x 1;1 x 0;0 x 1;;;;1 x 0
Gamba Osaka;;2 x 1;2 x 5;;;0 x 1;;;2 x 1;0 x 1;2 x 0;0 x 1;4 x 0;1 x 0;2 x 0;;;;;
Kashima Antlers;2 x 1;0 x 1;;;;;;2 x 1;3 x 4;1 x 0;1 x 0;1 x 1;;1 x 0;2 x 0;4 x 0;1 x 1;1 x 0;;
Kashiwa Reysol;1 x 1;;2 x 1;2 x 0;1 x 0;1 x 3;;1 x 1;3 x 3;;;;;1 x 0;;0 x 0;;1 x 3;;
Kawasaki Frontale;3 x 1;;2 x 0;;2 x 2;;;;0 x 1;;4 x 0;;2 x 0;;;0 x 0;2 x 2;1 x 2;2 x 1;3 x 3
Kyoto Sanga;;;2 x 3;;;;1 x 1;;;;1 x 1;1 x 0;2 x 0;;3 x 0;;1 x 1;;2 x 1;
Machida Zelvia;1 x 0;;;;;2 x 1;3 x 0;2 x 2;1 x 2;;;1 x 2;0 x 1;;;0 x 1;0 x 2;;;0 x 3
Nagoya Grampus;3 x 0;;;0 x 0;;;1 x 2;;;1 x 2;;2 x 1;;1 x 1;;;2 x 1;2 x 2;2 x 1;2 x 0
Sanfrecce Hiroshima;0 x 1;2 x 1;2 x 1;0 x 1;;1 x 0;1 x 1;1 x 2;;;;;;;;2 x 1;;;1 x 0;1 x 0
Shonan Bellmare;;0 x 0;;1 x 1;;1 x 0;0 x 1;;;1 x 2;2 x 1;0 x 1;;;;;2 x 1;1 x 2;0 x 1;
Shimizu S-Pulse;2 x 0;3 x 1;;;0 x 0;;;1 x 1;1 x 2;2 x 2;0 x 3;1 x 1;3 x 0;;;;;3 x 2;;
FC Tokyo;;;2 x 2;;3 x 0;;1 x 1;0 x 3;;0 x 1;3 x 1;0 x 3;0 x 0;0 x 2;;;;1 x 0;;
Tokyo Verdy;;;1 x 0;;0 x 1;;0 x 3;;1 x 0;;2 x 1;;0 x 2;0 x 1;2 x 2;;;0 x 1;2 x 0;
Urawa Red Diamonds;;;0 x 0;1 x 0;0 x 1;;0 x 2;;2 x 1;;;1 x 0;;2 x 1;3 x 2;2 x 0;;;2 x 1;3 x 1
Vissel Kobe;0 x 1;0 x 1;1 x 3;2 x 0;3 x 2;;;2 x 1;1 x 1;1 x 0;2 x 1;;;;;;0 x 0;;;
Yokohama FC;;1 x 0;2 x 0;1 x 0;1 x 1;0 x 3;1 x 1;0 x 1;;0 x 2;;0 x 4;;2 x 0;0 x 1;;;0 x 1;;0 x 0
Yokohama F. Marinos;1 x 1;;;0 x 1;2 x 0;3 x 1;0 x 2;;0 x 3;;;;1 x 1;2 x 3;0 x 3;0 x 0;;1 x 2;;
