"Time";"Tipo_de_coeficiente";"Valor";"Erro";"Liga"
"CODM Meknes";"Ataque";0;0;"Botola"
"Difaâ El Jadida";"Ataque";-0,281328779172858;0,470487890541946;"Botola"
"FAR Rabat";"Ataque";0,48300608616099;0,37777706629963;"Botola"
"FUS Rabat";"Ataque";0,653128403252838;0,366910976961359;"Botola"
"Hassania Agadir";"Ataque";-0,0524852932518187;0,426867170170043;"Botola"
"Ittihad Tanger";"Ataque";-0,37549310755795;0,51894055814655;"Botola"
"Jeunesse Sportive Soualem";"Ataque";-0,444117292287804;0,454665698448375;"Botola"
"Maghreb Fès";"Ataque";0,0288268593110684;0,411858244844713;"Botola"
"Moghreb Tétouan";"Ataque";-0,574872459270737;0,472766879576597;"Botola"
"Olympic Club de Safi";"Ataque";-0,13167093946566;0,434289993861997;"Botola"
"RCA Raja Casablanca Athletic";"Ataque";0,101118998180483;0,405984277162955;"Botola"
"RS Berkane";"Ataque";0,623365753854057;0,361855820151682;"Botola"
"Renaissance Club Zemamra";"Ataque";0,16546920822826;0,379302752776307;"Botola"
"SC Chabab Mohammédia";"Ataque";-16,6977950266114;766,500221472514;"Botola"
"Union de Touarga";"Ataque";-0,875811702926581;0,547663732385658;"Botola"
"Wydad Casablanca";"Ataque";0,220247217764074;0,413844737838263;"Botola"
"CODM Meknes";"Defesa";0;0;"Botola"
"Difaâ El Jadida";"Defesa";-0,0145387478803185;0,324276949828006;"Botola"
"FAR Rabat";"Defesa";-1,40296810646058;0,546265286751877;"Botola"
"FUS Rabat";"Defesa";-1,22156332183567;0,458235634228277;"Botola"
"Hassania Agadir";"Defesa";-0,278039802761799;0,329179781508654;"Botola"
"Ittihad Tanger";"Defesa";-1,15385479216913;0,501873336464627;"Botola"
"Jeunesse Sportive Soualem";"Defesa";-0,0146108122000596;0,287289377083562;"Botola"
"Maghreb Fès";"Defesa";-1,13433023457061;0,460211441139143;"Botola"
"Moghreb Tétouan";"Defesa";0,00903443832914907;0,3187253336111;"Botola"
"Olympic Club de Safi";"Defesa";-1,00377646942056;0,436663888857043;"Botola"
"RCA Raja Casablanca Athletic";"Defesa";-1,38780053009572;0,496782762079729;"Botola"
"RS Berkane";"Defesa";-2,05037684577027;0,615829270468587;"Botola"
"Renaissance Club Zemamra";"Defesa";-0,457806292168783;0,33740880270064;"Botola"
"SC Chabab Mohammédia";"Defesa";0,527390514024822;0,26339368186209;"Botola"
"Union de Touarga";"Defesa";-0,367601360966636;0,35294425193934;"Botola"
"Wydad Casablanca";"Defesa";-1,54892076000717;0,546257698755128;"Botola"
