Time;Liga;Rating_da_liga
Al Ahly;Egyptian Premier League;72,9
Al Ain;UAE Pro League;70,6
Al-Hilal;Saudi Pro League;78,8
Atletico Madrid;La Liga;90,2
Auckland City;New Zealand National League;48,4
Borussia Dortmund;Bundesliga;89,5
Botafogo;Brasileirão;81,7
Boca Juniors;Argentine Primera División;82
River Plate;Argentine Primera División;82
Monterrey;Liga MX;81,6
Pachuca;Liga MX;81,6
Chelsea;English Premier League;95,7
Flamengo;Brasileirão;81,7
Espérance de Tunis;Tunisian Ligue 1;68,3
Bayern Munich;Bundesliga;89,5
Inter Milan;Serie A;91,4
Porto;Portuguese Primeira Liga;83,4
Red Bull Salzburg;Austrian Bundesliga;77,3
Fluminense;Brasileirão;81,7
Inter Miami CF;MLS;81,6
Juventus;Serie A;91,4
LAFC;MLS;81,6
Mamelodi Sundowns;South African Premiership;71,2
Manchester City;English Premier League;95,7
Palmeiras;Brasileirão;81,7
Paris SG;Ligue 1;89
Real Madrid;La Liga;90,2
Seattle Sounders FC;MLS;81,6
Benfica;Portuguese Primeira Liga;83,4
Ulsan HD;K League 1;74,6
Urawa Red Diamonds;J1 League;79,6
Wydad Casablanca;Botola;73,8
